td_item,classification,project,issue_number,introduction_time,identification_time,repayment_decision_time,remediation_time,identification_latency,discussion_period,remediation_latency,remediation_latency_without_discussion
IMPALA-3652|0,Design-Des,IMPALA,3652,10/06/2015,31/05/2016,03/08/2018,24/10/2018,356,794,82,876
HBASE-13395|0,Code-DedCd,HBASE,13395,07/01/2015,03/04/2015,18/11/2016,18/11/2016,86,595,0,595
THRIFT-1810|0,Test-LacTst,THRIFT,1810,08/07/2008,27/12/2012,19/01/2014,19/01/2014,1633,388,0,388
HBASE-17338|0,Design-Des,HBASE,17338,30/10/2016,19/12/2016,24/02/2017,10/03/2017,50,67,14,81
HADOOP-11730|0,Test-LCvg,HADOOP,11730,10/09/2014,19/03/2015,23/04/2015,23/04/2015,190,35,0,35
IMPALA-1691|0,Design-Des,IMPALA,1691,15/09/2014,23/01/2015,04/02/2015,04/02/2015,130,12,0,12
HADOOP-12135|0,Code-LQualCd,HADOOP,12135,01/04/2015,27/06/2015,06/07/2015,06/07/2015,87,9,0,9
HADOOP-12888|0,Code-LQualCd,HADOOP,12888,04/06/2015,29/02/2016,08/03/2016,16/03/2016,270,8,8,16
HBASE-12464|0,Design-Des,HBASE,12464,23/04/2014,12/11/2014,18/11/2014,20/11/2014,203,6,2,8
HBASE-18180|0,Code-LQualCd,HBASE,18180,26/05/2012,07/06/2017,12/06/2017,12/06/2017,1838,5,0,5
THRIFT-1243|1,Design-Des,THRIFT,1243,06/10/2010,29/08/2011,03/09/2011,11/09/2011,327,5,8,13
HBASE-12833|0,Code-LQualCd,HBASE,12833,29/11/2014,09/01/2015,14/01/2015,16/01/2015,41,5,2,7
HBASE-17480|0,Code-DedCd,HBASE,17480,05/08/2012,17/01/2017,19/01/2017,19/01/2017,1626,2,0,2
HADOOP-12829|0,Code-LQualCd,HADOOP,12829,29/06/2015,20/02/2016,22/02/2016,23/02/2016,236,2,1,3
HBASE-15192|0,Test-FlakyTst,HBASE,15192,24/03/2013,30/01/2016,01/02/2016,02/02/2016,1042,2,1,3
CAMEL-10476|0,Design-Des,CAMEL,10476,19/06/2012,14/11/2016,15/11/2016,18/11/2016,1609,1,3,4
CAMEL-11868|0,Design-Des,CAMEL,11868,08/09/2017,02/10/2017,03/10/2017,16/10/2017,24,1,13,14
HADOOP-10681|0,Code-SlAlg,HADOOP,10681,25/08/2011,11/06/2014,12/06/2014,05/10/2014,1021,1,115,116
HBASE-15835|0,Design-Des,HBASE,15835,26/05/2012,16/05/2016,17/05/2016,24/05/2016,1451,1,7,8
THRIFT-1217|0,Architecture-ObsTech,THRIFT,1217,09/03/2010,23/06/2011,24/06/2011,08/07/2011,471,1,14,15
HADOOP-11607|0,Code-LQualCd,HADOOP,11607,15/09/2014,17/02/2015,18/02/2015,20/02/2015,155,1,2,3
HBASE-11621|0,Code-SlAlg,HBASE,11621,21/08/2012,30/07/2014,31/07/2014,31/07/2014,708,1,0,1
HBASE-14494|0,Code-LQualCd,HBASE,14494,30/09/2014,25/09/2015,26/09/2015,26/09/2015,360,1,0,1
HBASE-19241|0,Code-LQualCd,HBASE,19241,04/07/2017,11/11/2017,12/11/2017,13/11/2017,130,1,1,2
HADOOP-11013|0,Code-LQualCd,HADOOP,11013,19/08/2014,27/08/2014,28/08/2014,28/08/2014,8,1,0,1
HADOOP-11117|0,Code-LQualCd,HADOOP,11117,25/08/2011,22/09/2014,23/09/2014,30/09/2014,1124,1,7,8
CAMEL-11196|0,Design-Des,CAMEL,11196,15/03/2017,24/04/2017,24/04/2017,10/05/2017,40,0,16,16
CAMEL-1507|0,Code-LQualCd,CAMEL,1507,27/04/2008,01/04/2009,01/04/2009,01/04/2009,339,0,0,0
HBASE-11511|0,Design-Des,HBASE,11511,06/06/2014,14/07/2014,14/07/2014,15/07/2014,38,0,1,1
THRIFT-1103|0,Test-LacTst,THRIFT,1103,27/02/2007,21/03/2011,21/03/2011,22/03/2011,1483,0,1,1
THRIFT-2328|1,Code-LQualCd,THRIFT,2328,21/02/2014,22/02/2014,22/02/2014,23/02/2014,1,0,1,1
CAMEL-10048|0,Code-LQualCd,CAMEL,10048,16/09/2015,11/06/2016,11/06/2016,12/06/2016,269,0,1,1
HADOOP-11379|0,Code-LQualCd,HADOOP,11379,31/08/2011,09/12/2014,09/12/2014,09/12/2014,1196,0,0,0
HADOOP-11421|0,Code-LQualCd,HADOOP,11421,25/08/2011,17/12/2014,17/12/2014,17/12/2014,1210,0,0,0
HADOOP-11523|0,Design-Des,HADOOP,11523,08/10/2014,29/01/2015,29/01/2015,29/01/2015,113,0,0,0
HADOOP-11544|0,Code-LQualCd,HADOOP,11544,03/10/2014,04/02/2015,04/02/2015,04/02/2015,124,0,0,0
HBASE-12238|0,Design-Des,HBASE,12238,02/07/2014,13/10/2014,13/10/2014,29/10/2014,103,0,16,16
HBASE-15640|0,Design-Des,HBASE,15640,09/06/2014,12/04/2016,12/04/2016,20/04/2016,673,0,8,8
IMPALA-3103|0,Code-SlAlg,IMPALA,3103,30/11/2015,01/03/2016,01/03/2016,01/03/2016,92,0,0,0
THRIFT-1290|0,Code-LQualCd,THRIFT,1290,26/11/2007,24/08/2011,24/08/2011,25/08/2011,1367,0,1,1
HADOOP-10485|0,Code-DedCd,HADOOP,10485,09/04/2014,09/04/2014,09/04/2014,09/04/2014,0,0,0,0
CAMEL-10507|0,Code-LQualCd,CAMEL,10507,20/03/2015,22/11/2016,22/11/2016,22/11/2016,613,,,0
CAMEL-10517|0,Code-LQualCd,CAMEL,10517,12/07/2015,23/11/2016,23/11/2016,23/11/2016,500,,,0
CAMEL-10678|0,Design-Des,CAMEL,10678,13/12/2016,06/01/2017,06/01/2017,06/01/2017,24,,,0
CAMEL-10950|0,Design-Des,CAMEL,10950,19/09/2016,06/03/2017,06/03/2017,06/03/2017,168,,,0
CAMEL-1107|0,Code-DedCd,CAMEL,1107,30/08/2007,21/11/2008,21/11/2008,21/11/2008,449,,,0
CAMEL-1112|0,Design-Des,CAMEL,1112,05/09/2007,24/11/2008,24/11/2008,29/11/2008,446,,,5
CAMEL-11171|0,Test-LCvg,CAMEL,11171,10/03/2017,19/04/2017,19/04/2017,19/04/2017,40,,,0
CAMEL-11282|0,Design-Des,CAMEL,11282,26/08/2016,16/05/2017,16/05/2017,16/10/2017,263,,,153
CAMEL-11868|1,Architecture-ObsTech,CAMEL,11868,08/09/2017,30/09/2017,30/09/2017,16/10/2017,22,,,16
CAMEL-1196|0,Test-LacTst,CAMEL,1196,22/01/2008,18/12/2008,18/12/2008,18/12/2008,331,,,0
CAMEL-12104|1,Design-Des,CAMEL,12104,28/02/2018,01/03/2018,01/03/2018,01/03/2018,1,,,0
CAMEL-12104|2,Test-LacTst,CAMEL,12104,29/04/2016,11/01/2018,11/01/2018,28/02/2018,622,,,48
CAMEL-1228|0,Code-LQualCd,CAMEL,1228,02/01/2009,06/01/2009,06/01/2009,06/01/2009,4,,,0
CAMEL-1256|1,Code-LQualCd,CAMEL,1256,28/08/2007,19/01/2009,19/01/2009,19/01/2009,510,,,0
CAMEL-12624|0,Design-Des,CAMEL,12624,03/12/2015,04/07/2018,04/07/2018,13/07/2018,944,,,9
CAMEL-1270|0,Code-MTCor,CAMEL,1270,15/10/2008,18/01/2009,18/01/2009,18/01/2009,95,,,0
CAMEL-13681|0,Design-Des,CAMEL,13681,17/06/2019,25/06/2019,25/06/2019,25/06/2019,8,,,0
CAMEL-1447|0,Code-LQualCd,CAMEL,1447,09/03/2009,11/03/2009,11/03/2009,19/04/2009,2,,,39
CAMEL-149|0,Design-Des,CAMEL,149,28/08/2007,17/09/2007,17/09/2007,18/09/2007,20,,,1
CAMEL-1507|1,Code-LQualCd,CAMEL,1507,01/04/2009,02/04/2009,02/04/2009,02/04/2009,1,,,0
CAMEL-1842|0,Test-LacTst,CAMEL,1842,20/01/2009,20/07/2009,20/07/2009,20/07/2009,181,,,0
CAMEL-1944|0,Code-LQualCd,CAMEL,1944,25/06/2007,26/08/2009,26/08/2009,27/08/2009,793,,,1
CAMEL-2094|0,Design-Des,CAMEL,2094,04/11/2008,22/10/2009,22/10/2009,22/10/2009,352,,,0
CAMEL-251|0,Code-LQualCd,CAMEL,251,07/08/2007,29/11/2007,29/11/2007,07/12/2007,114,,,8
CAMEL-2650|0,Design-Des,CAMEL,2650,29/09/2009,15/04/2010,15/04/2010,16/04/2010,198,,,1
CAMEL-2682|0,Design-Des,CAMEL,2682,08/03/2009,29/04/2010,29/04/2010,30/04/2010,417,,,1
CAMEL-2879|0,Design-Des,CAMEL,2879,30/06/2010,30/06/2010,30/06/2010,30/06/2010,0,,,0
CAMEL-2892|0,Code-DedCd,CAMEL,2892,15/01/2010,01/07/2010,01/07/2010,01/07/2010,167,,,0
CAMEL-3050|0,Design-Des,CAMEL,3050,12/08/2010,12/08/2010,12/08/2010,12/08/2010,0,,,0
CAMEL-3100|0,Code-LQualCd,CAMEL,3100,27/06/2009,02/09/2010,02/09/2010,02/09/2010,432,,,0
HADOOP-10169|1,Code-LQualCd,HADOOP,10169,25/08/2011,19/12/2013,19/12/2013,20/12/2013,847,,,1
HADOOP-10214|1,Code-MTCor,HADOOP,10214,07/01/2014,09/01/2014,09/01/2014,09/01/2014,2,,,0
HADOOP-10343|0,Code-LQualCd,HADOOP,10343,06/09/2013,13/02/2014,13/02/2014,13/02/2014,160,,,0
HADOOP-10353|0,Code-MTCor,HADOOP,10353,25/08/2011,20/02/2014,20/02/2014,27/02/2014,910,,,7
HADOOP-10432|0,Code-LQualCd,HADOOP,10432,26/07/2012,25/03/2014,25/03/2014,09/04/2014,607,,,15
HADOOP-10526|0,Design-Des,HADOOP,10526,25/08/2011,05/12/2011,05/12/2011,21/04/2014,102,,,868
HADOOP-10681|2,Code-LQualCd,HADOOP,10681,25/08/2011,02/07/2014,02/07/2014,05/10/2014,1042,,,95
HADOOP-10681|1,Design-Des,HADOOP,10681,25/08/2011,20/06/2014,20/06/2014,05/10/2014,1030,,,107
HADOOP-10729|0,Test-LacTst,HADOOP,10729,28/10/2011,20/06/2014,20/06/2014,09/12/2015,966,,,537
HADOOP-10979|0,Design-Des,HADOOP,10979,19/08/2014,19/08/2014,19/08/2014,16/07/2015,0,,,331
HADOOP-11014|0,Code-LQualCd,HADOOP,11014,09/08/2014,28/08/2014,28/08/2014,25/03/2015,19,,,209
HADOOP-11103|0,Code-LQualCd,HADOOP,11103,04/05/2013,17/09/2014,17/09/2014,19/05/2015,501,,,244
HADOOP-12368|0,Code-LQualCd,HADOOP,12368,25/08/2011,31/08/2015,31/08/2015,31/08/2015,1467,,,0
HADOOP-12520|0,Design-Des,HADOOP,12520,10/06/2014,27/10/2015,27/10/2015,27/10/2015,504,,,0
HADOOP-12701|0,Code-LQualCd,HADOOP,12701,01/05/2015,11/01/2016,11/01/2016,06/05/2016,255,,,116
HADOOP-12733|1,Code-LQualCd,HADOOP,12733,25/08/2011,27/01/2016,27/01/2016,04/01/2017,1616,,,343
HADOOP-12733|0,Code-DedCd,HADOOP,12733,25/08/2011,23/01/2016,23/01/2016,04/01/2017,1612,,,347
HADOOP-12811|0,Design-Des,HADOOP,12811,25/02/2015,17/02/2016,17/02/2016,14/04/2016,357,,,57
HADOOP-12952|0,Code-SlAlg,HADOOP,12952,17/10/2011,22/03/2016,22/03/2016,23/03/2016,1618,,,1
HBASE-10001|0,Code-CpxCd,HBASE,10001,19/11/2013,19/11/2013,19/11/2013,20/11/2013,0,,,1
HBASE-1054|0,Design-Des,HBASE,1054,17/11/2008,10/12/2008,10/12/2008,10/12/2008,23,,,0
HBASE-10968|1,Code-DedCd,HBASE,10968,18/11/2013,12/04/2014,12/04/2014,12/04/2014,145,,,0
HBASE-12059|0,Design-Des,HBASE,12059,10/07/2013,23/09/2014,23/09/2014,23/09/2014,440,,,0
HBASE-12106|0,Code-LQualCd,HBASE,12106,10/07/2013,26/09/2014,26/09/2014,06/10/2014,443,,,10
HBASE-12833|2,Test-LCvg,HBASE,12833,23/09/2013,15/01/2015,15/01/2015,16/01/2015,479,,,1
HBASE-12833|1,Design-Des,HBASE,12833,23/09/2013,13/01/2015,13/01/2015,16/01/2015,477,,,3
HBASE-1298|0,Code-LQualCd,HBASE,1298,31/07/2008,30/03/2009,30/03/2009,03/04/2009,242,,,4
HBASE-13710|0,Design-Des,HBASE,13710,11/06/2014,19/05/2015,19/05/2015,19/05/2015,342,,,0
HBASE-13905|0,Design-Des,HBASE,13905,30/01/2015,15/06/2015,15/06/2015,15/06/2015,136,,,0
