classification,td_item,if_self_resolved,remediation_latency_without_discussion
Code-LQualCd,CAMEL-10048|0,0,1
Design-Des,CAMEL-10476|0,0,4
Code-LQualCd,CAMEL-10507|0,1,0
Code-LQualCd,CAMEL-10517|0,1,0
Design-Des,CAMEL-10678|0,0,0
Design-Des,CAMEL-10950|0,1,0
Code-DedCd,CAMEL-1107|0,1,0
Design-Des,CAMEL-1112|0,0,5
Test-LCvg,CAMEL-11171|0,1,0
Design-Des,CAMEL-11196|0,0,16
Design-Des,CAMEL-11282|0,0,153
Design-Des,CAMEL-11868|0,1,14
Architecture-ObsTech,CAMEL-11868|1,1,16
Test-LacTst,CAMEL-1196|0,1,0
Design-Des,CAMEL-12104|0,0,83
Design-Des,CAMEL-12104|1,1,0
Test-LacTst,CAMEL-12104|2,1,48
Code-LQualCd,CAMEL-1228|0,1,0
Code-DedCd,CAMEL-1256|0,1,5
Code-LQualCd,CAMEL-1256|1,1,0
Design-Des,CAMEL-12624|0,0,9
Design-Des,CAMEL-12646|0,1,0
Code-MTCor,CAMEL-1270|0,1,0
Design-Des,CAMEL-13681|0,1,0
Code-LQualCd,CAMEL-1447|0,1,39
Design-Des,CAMEL-149|0,1,1
Code-LQualCd,CAMEL-1507|0,0,0
Code-LQualCd,CAMEL-1507|1,1,0
Test-LacTst,CAMEL-1842|0,1,0
Code-LQualCd,CAMEL-1944|0,0,1
Design-Des,CAMEL-2094|0,1,0
Code-LQualCd,CAMEL-251|0,0,8
Code-DedCd,CAMEL-2535|0,1,1
Design-Des,CAMEL-2650|0,1,1
Design-Des,CAMEL-2682|0,1,1
Design-Des,CAMEL-2879|0,0,0
Code-DedCd,CAMEL-2892|0,1,0
Design-Des,CAMEL-3048|0,0,10
Design-Des,CAMEL-3050|0,1,0
Design-Des,CAMEL-3077|0,0,0
Code-LQualCd,CAMEL-3100|0,1,0
Code-MTCor,HADOOP-10106|0,0,30
Code-DedCd,HADOOP-10169|0,0,3
Code-LQualCd,HADOOP-10169|1,0,1
Code-LQualCd,HADOOP-10214|0,0,0
Code-MTCor,HADOOP-10214|1,0,0
Code-LQualCd,HADOOP-10343|0,1,0
Code-MTCor,HADOOP-10353|0,0,7
Code-LQualCd,HADOOP-10432|0,1,15
Code-DedCd,HADOOP-10485|0,1,0
Code-LQualCd,HADOOP-10496|0,1,1
Code-DedCd,HADOOP-10499|0,0,2
Design-Des,HADOOP-10526|0,0,868
Code-SlAlg,HADOOP-10681|0,0,116
Design-Des,HADOOP-10681|1,0,107
Code-LQualCd,HADOOP-10681|2,0,95
Test-LacTst,HADOOP-10729|0,0,537
Design-Des,HADOOP-10979|0,1,331
Code-LQualCd,HADOOP-11013|0,1,1
Code-LQualCd,HADOOP-11014|0,0,209
Code-LQualCd,HADOOP-11063|0,1,0
Code-LQualCd,HADOOP-11103|0,0,244
Code-LQualCd,HADOOP-11117|0,1,8
Code-LQualCd,HADOOP-11379|0,0,0
Code-LQualCd,HADOOP-11421|0,1,0
Design-Des,HADOOP-11523|0,1,0
Code-LQualCd,HADOOP-11544|0,0,0
Code-LQualCd,HADOOP-11607|0,1,3
Test-LCvg,HADOOP-11730|0,1,35
Code-LQualCd,HADOOP-12135|0,1,9
Code-LQualCd,HADOOP-12368|0,1,0
Design-Des,HADOOP-12520|0,1,0
Code-LQualCd,HADOOP-12701|0,0,116
Code-DedCd,HADOOP-12733|0,0,347
Code-LQualCd,HADOOP-12733|1,0,343
Design-Des,HADOOP-12811|0,0,57
Code-LQualCd,HADOOP-12829|0,1,3
Code-LQualCd,HADOOP-12888|0,1,16
Architecture-VioMod,HADOOP-12923|0,1,0
Code-SlAlg,HADOOP-12952|0,0,1
Code-CpxCd,HBASE-10001|0,0,1
Test-FlakyTst,HBASE-10008|0,1,1
Design-Des,HBASE-1054|0,0,0
Code-LQualCd,HBASE-10631|0,1,0
Design-Des,HBASE-10968|0,0,0
Code-DedCd,HBASE-10968|1,0,0
Design-Des,HBASE-11011|0,1,1
Design-Des,HBASE-11229|0,1,1
Design-Des,HBASE-11511|0,1,1
Code-SlAlg,HBASE-11621|0,1,1
Design-Des,HBASE-12059|0,1,0
Code-LQualCd,HBASE-12106|0,0,10
Design-Des,HBASE-12238|0,1,16
Design-Des,HBASE-12464|0,0,8
Code-LQualCd,HBASE-12833|0,0,7
Design-Des,HBASE-12833|1,0,3
Test-LCvg,HBASE-12833|2,0,1
Code-LQualCd,HBASE-1298|0,0,4
Code-DedCd,HBASE-13395|0,0,595
Design-Des,HBASE-13710|0,1,0
