classification,td_item,if_involved,remediation_latency
Design-Des,IMPALA-3652|0,0,82
Code-DedCd,HBASE-13395|0,0,0
Test-LacTst,THRIFT-1810|0,1,0
Design-Des,HBASE-17338|0,1,14
Test-LCvg,HADOOP-11730|0,1,0
Design-Des,IMPALA-1691|0,1,0
Code-LQualCd,HADOOP-12135|0,1,0
Code-LQualCd,HADOOP-12888|0,1,8
Design-Des,HBASE-12464|0,0,2
Code-LQualCd,HBASE-18180|0,1,0
Design-Des,THRIFT-1243|1,0,8
Code-LQualCd,HBASE-12833|0,0,2
Code-DedCd,HBASE-17480|0,1,0
Code-LQualCd,HADOOP-12829|0,1,1
Test-FlakyTst,HBASE-15192|0,1,1
Design-Des,CAMEL-10476|0,0,3
Design-Des,CAMEL-11868|0,1,13
Code-SlAlg,HADOOP-10681|0,0,115
Design-Des,HBASE-15835|0,1,7
Architecture-ObsTech,THRIFT-1217|0,1,14
Code-LQualCd,HADOOP-11607|0,1,2
Code-SlAlg,HBASE-11621|0,1,0
Code-LQualCd,HBASE-14494|0,1,0
Code-LQualCd,HBASE-19241|0,1,1
Code-LQualCd,HADOOP-11013|0,1,0
Code-LQualCd,HADOOP-11117|0,1,7
Design-Des,CAMEL-11196|0,0,16
Code-LQualCd,CAMEL-1507|0,0,0
Design-Des,HBASE-11511|0,1,1
Test-LacTst,THRIFT-1103|0,0,1
Code-LQualCd,THRIFT-2328|1,1,1
Code-LQualCd,CAMEL-10048|0,0,1
Code-LQualCd,HADOOP-11379|0,0,0
Code-LQualCd,HADOOP-11421|0,1,0
Design-Des,HADOOP-11523|0,1,0
Code-LQualCd,HADOOP-11544|0,0,0
Design-Des,HBASE-12238|0,1,16
Design-Des,HBASE-15640|0,1,8
Code-SlAlg,IMPALA-3103|0,1,0
Code-LQualCd,THRIFT-1290|0,1,1
Code-DedCd,HADOOP-10485|0,1,0
